Altium Designer Pick and Place Locations
C:\Users\Rahul Kumar\Documents\work\altium\stac-pcb\v1-pcb\STAC_PCB\Project Outputs for STAC_PCB\Pick Place\Pick Place for STAC-v1-pcb.txt

========================================================================================================================
File Design Information:

Date:       09/01/24
Time:       18:23
Revision:   84571120b885e7a9ea3b50244534f23568f3b307
Variant:    No variations
Units used: mil

Designator Comment                    Layer       Footprint                           Ref-X(mil) Ref-Y(mil) Rotation Description                                                                         
C1         10uF                       BottomLayer 0603                                1650.000   3250.000   270      "Capacitor generic"                                                                 
C2         220uF                      TopLayer    CAP-SMT-CAN-D                       1875.000   4150.000   0        "20% 16V Alum Radial SMD"                                                           
C3         10uF                       TopLayer    0603                                1975.000   3300.000   0        "Capacitor generic"                                                                 
C4         0.1uF                      BottomLayer 0603                                1800.000   3246.260   270      "Capacitor generic"                                                                 
C5         220uF                      TopLayer    CAP-SMT-CAN-D                       2575.000   4150.000   0        "20% 16V Alum Radial SMD"                                                           
C6         220uF                      TopLayer    CAP-SMT-CAN-D                       2575.000   3825.000   180      "20% 16V Alum Radial SMD"                                                           
C7         220uF                      TopLayer    CAP-SMT-CAN-D                       1875.000   3825.000   180      "20% 16V Alum Radial SMD"                                                           
C8         220uF                      TopLayer    CAP-SMT-CAN-D                       2605.000   3475.000   90       "20% 16V Alum Radial SMD"                                                           
C9         4.7uF                      BottomLayer 0603                                2425.000   3073.740   90       "Capacitor generic"                                                                 
C10        4.7uF                      TopLayer    0603                                2380.000   2761.260   270      "Capacitor generic"                                                                 
C11        0.47uF                     TopLayer    0603                                2475.000   2785.000   0        "Capacitor generic"                                                                 
C12        4.7uF                      BottomLayer 0603                                2140.000   3035.000   270      "Capacitor generic"                                                                 
C13        4.7uF                      BottomLayer 0603                                2085.000   2901.260   90       "Capacitor generic"                                                                 
C14        0.47uF                     BottomLayer 0603                                1965.000   2960.000   90       "Capacitor generic"                                                                 
C15        10uF                       BottomLayer 0603                                4230.000   3187.260   90       "Capacitor generic"                                                                 
C16        10uF                       BottomLayer 0603                                4225.000   3483.740   270      "Capacitor generic"                                                                 
C17        10uF                       BottomLayer 0603                                4230.000   3287.740   270      "Capacitor generic"                                                                 
C18        10uF                       BottomLayer 0603                                4331.260   3505.000   0        "Capacitor generic"                                                                 
C19        10uF                       BottomLayer 0603                                4525.000   3120.740   90       "Capacitor generic"                                                                 
C20        10uF                       BottomLayer 0603                                4573.000   3281.260   270      "Capacitor generic"                                                                 
C21        10uF                       BottomLayer 0603                                4543.740   3517.000   180      "Capacitor generic"                                                                 
C22        10uF                       BottomLayer 0603                                4529.740   3443.000   180      "Capacitor generic"                                                                 
C23        0.1uF                      BottomLayer 0603                                1660.000   1711.260   90       "Capacitor generic"                                                                 
C24        0.1uF                      BottomLayer 0603                                1688.740   1900.000   0        "Capacitor generic"                                                                 
C25        0.1uF                      BottomLayer 0603                                1916.260   1895.000   180      "Capacitor generic"                                                                 
C26        0.1uF                      BottomLayer 0603                                1870.000   1971.260   270      "Capacitor generic"                                                                 
C27        0.1uF                      BottomLayer 0603                                1688.740   1955.000   0        "Capacitor generic"                                                                 
C28        0.1uF                      BottomLayer 0603                                1688.740   1820.000   0        "Capacitor generic"                                                                 
C29        0.1uF                      BottomLayer 0603                                1795.000   1711.260   90       "Capacitor generic"                                                                 
C30        10uF                       BottomLayer 0603                                1155.000   1935.000   0        "Capacitor generic"                                                                 
C31        4.7uF                      BottomLayer 0603                                2023.740   1640.000   0        "Capacitor generic"                                                                 
C32        0.1uF                      BottomLayer 0603                                1935.000   1720.000   180      "Capacitor generic"                                                                 
C33        4.7uF                      BottomLayer 0603                                2123.740   1875.000   0        "Capacitor generic"                                                                 
C34        0.1uF                      BottomLayer 0603                                2123.740   1820.000   0        "Capacitor generic"                                                                 
C35        10uF                       BottomLayer 0603                                1156.260   1750.000   180      "Capacitor generic"                                                                 
C36        3.3uF                      BottomLayer 0603                                1901.260   1665.000   180      "Capacitor generic"                                                                 
C37        10uF                       BottomLayer 0603                                1810.000   1356.260   270      "Capacitor generic"                                                                 
C38        10uF                       BottomLayer 0603                                2426.000   2224.260   270      "Capacitor generic"                                                                 
C39        10uF                       BottomLayer 0603                                2325.000   2455.000   0        "Capacitor generic"                                                                 
C40        10uF                       BottomLayer 0603                                2890.000   2159.260   270      "Capacitor generic"                                                                 
C41        10uF                       BottomLayer 0603                                2765.000   1740.000   270      "Capacitor generic"                                                                 
C42        10uF                       BottomLayer 0603                                2390.000   1520.000   270      "Capacitor generic"                                                                 
C43        10uF                       BottomLayer 0603                                3295.000   2870.000   90       "Capacitor generic"                                                                 
C44        0.1uF                      BottomLayer 0603                                1330.000   1260.000   180      "Capacitor generic"                                                                 
C45        0.1uF                      BottomLayer 0603                                3250.000   1748.740   90       "Capacitor generic"                                                                 
C46        0.1uF                      BottomLayer 0603                                3350.000   1750.000   90       "Capacitor generic"                                                                 
C47        0.1uF                      BottomLayer 0603                                3450.000   1750.000   90       "Capacitor generic"                                                                 
C48        0.1uF                      BottomLayer 0603                                1328.740   1450.000   180      "Capacitor generic"                                                                 
C49        0.1uF                      BottomLayer 0603                                3550.000   1750.000   90       "Capacitor generic"                                                                 
C50        0.1uF                      BottomLayer 0603                                3650.000   1750.000   90       "Capacitor generic"                                                                 
C51        0.1uF                      BottomLayer 0603                                3750.000   1750.000   90       "Capacitor generic"                                                                 
C52        0.1uF                      BottomLayer 0603                                1675.000   1550.000   90       "Capacitor generic"                                                                 
C53        10uF                       BottomLayer 0603                                4337.740   3142.000   0        "Capacitor generic"                                                                 
D1         "SML-LX0603GW-TR (green)"  TopLayer    LED-0603                            1275.000   4285.000   90       "LED generic"                                                                       
D2         "SML-LX0603GW-TR (green)"  TopLayer    LED-0603                            1400.000   4285.000   90       "LED generic"                                                                       
D3         "APT1608LVBC/D (blue)"     TopLayer    LED-0603                            1525.000   4285.000   90       "LED generic"                                                                       
D4         "7017X1 (red)"             TopLayer    LED-0603                            1665.000   4285.000   90       "LED generic"                                                                       
D5         "APT1608LVBC/D (blue)"     TopLayer    LED-0603                            1485.000   1175.394   270      "LED generic"                                                                       
D6         "APT1608LVBC/D (blue)"     TopLayer    LED-0603                            1555.000   1175.394   270      "LED generic"                                                                       
D7         "LTST-C193KRKT-5A (red)"   TopLayer    LED-0603                            1715.000   2190.000   90       "LED generic"                                                                       
D8         "SML-LX0603GW-TR (green)"  TopLayer    LED-0603                            1415.000   1175.000   270      "LED generic"                                                                       
E1         PGB1010603MR               TopLayer    0603                                1435.000   1750.000   270      "TVS ESD protection clamp generic"                                                  
E2         PGB1010603MR               TopLayer    0603                                1435.000   1950.000   90       "TVS ESD protection clamp generic"                                                  
F1         PTSLR12066V150             TopLayer    1206                                1470.000   2182.835   90       "Fuse generic"                                                                      
J1         1053141106                 TopLayer    CON-006-2.50-8.4X12.68/2X3-RA-POST  2225.000   3920.000   180      "Con 6 pins 2x3"                                                                    
J2         TSW-103-07-G-S             TopLayer    CON-003-100-300X100/1X3-POST        2050.000   2650.000   0        "Con 3 pins"                                                                        
J3         TSW-103-07-G-S             TopLayer    CON-003-100-300X100/1X3-POST        1625.000   2650.000   0        "Con 3 pins"                                                                        
J4         TSW-106-08-L-D-RA          TopLayer    CON-012-100-600X200/2X6-POST-RA_ALT 2635.000   1225.000   180      "Con 12 pins 2x6"                                                                   
J5         142-0701-801               TopLayer    CON-001-9.5X7.9/SMA-EDGE            5880.000   2250.000   90       "Con RF SMA"                                                                        
J6         142-0701-801               TopLayer    CON-001-9.5X7.9/SMA-EDGE            4500.000   4380.000   180      "Con RF SMA"                                                                        
J7         TSW-104-07-G-S             TopLayer    CON-004-100-400X100/1X4-POST        4220.100   3760.100   180      "Con 4 pins 1x4"                                                                    
J8         TSW-106-08-L-D-RA          TopLayer    CON-012-100-600X200/2X6-POST-RA_ALT 4435.000   1225.000   180      "Con 12 pins 2x6"                                                                   
J9         142-0701-801               TopLayer    CON-001-9.5X7.9/SMA-EDGE            5880.000   3000.000   90       "Con RF SMA"                                                                        
J10        TSW-106-08-L-D-RA          TopLayer    CON-012-100-600X200/2X6-POST-RA_ALT 5335.000   1225.000   180      "Con 12 pins 2x6"                                                                   
J11        142-0701-801               TopLayer    CON-001-9.5X7.9/SMA-EDGE            5250.000   4380.000   180      "Con RF SMA"                                                                        
J12        TSW-108-07-L-D             TopLayer    CON-016-100-800X200/2X8-POST        3530.000   1945.000   0        "Con 16 pins 2x8"                                                                   
J13        142-0701-801               TopLayer    CON-001-9.5X7.9/SMA-EDGE            5880.000   3750.000   90       "Con RF SMA"                                                                        
J14        SSW-106-01-G-D             TopLayer    CON-012-100-600X200/2X6-POST        2950.000   3730.000   90       "Con 12 pins 2x6"                                                                   
J15        142-0701-801               TopLayer    CON-001-9.5X7.9/SMA-EDGE            3750.000   4380.000   180      "Con RF SMA"                                                                        
J16        142-0701-801               TopLayer    CON-001-9.5X7.9/SMA-EDGE            3000.000   4380.000   180      "Con RF SMA"                                                                        
J17        12402012E212A              TopLayer    CON-012-0.5-8.90X7.4/USB-C          1013.583   1845.472   270      "Con 12 pin USB C receptacle + 4 shields, and 2 alignment posts"                    
