Find#,Part Number,Count,RefDes,Package,Decal,Desc,Vend,VendPN,Manf,ManfPN,PSID
1,"BW-224-068","19","C1 C3 C15 C16 C17 C18 C19 C20 C21 C22 C30 C35 C37 C38 C39 C40 C41 C42 C43","0603","0603","Cap ceramic 10uF 25V 20% X5R 0603 Murata GRM188R61E106MA73D","Digi-Key","490-7202-1-ND","Murata","GRM188R61E106MA73D",""
,,,,,,,"Mouser","81-GRM188R61E106MA3D","Murata","GRM188R61E106MA73D",
2,"BW-998-821","5","C2 C5 C6 C7 C8","CAP-SMT-CAN-D","CAP-SMT-CAN-D","Cap aluminum polymer 220uF 16V 20% SMD, 6.3mm dia. Panasonic 16SVPK220M","Digi-Key","P124158CT-ND","Panasonic","16SVPK220M",""
,,,,,,,"Mouser","667-16SVPK220M","Panasonic","16SVPK220M",
3,"BW-663-053","18","C4 C23 C24 C25 C26 C27 C28 C29 C32 C34 C44 C45 C46 C47 C48 C49 C50 C51","0603","0603","Cap ceramic 0.1uF 16V 5% X7R 0603 Kemet C0603C104J4RACTU","Digi-Key","399-1097-1-ND","Kemet","C0603C104J4RACTU",""
,,,,,,,"Mouser","80-C0603C104J4R","Kemet","C0603C104J4RACTU",
4,"BW-171-235","6","C9 C10 C12 C13 C31 C33","0603","0603","Cap ceramic 4.7uF 35V 10% X5R 0603 Murata GRM188R6YA75KE15D","Digi-Key","490-7205-1-ND","Murata","GRM188R6YA75KE15D",""
5,"BW-367-353","2","C11 C14","0603","0603","Cap ceramic 0.47uF 10V 10% X7R 0603 Yageo CC0603KRX7R6BB474","Digi-Key","311-1798-1-ND","Yageo","CC0603KRX7R6BB474",""
6,"BW-183-150","1","C36","0603","0603","Cap ceramic 3.3uF 10V 10% X5R 0603 Samsung CL10A335KP8NNNC","Digi-Key","1276-1892-1-ND","Samsung","CL10A335KP8NNNC",""
7,"BW-747-432","3","D1 D2 D8","LED-0603","LED-0603","LED 565nm (green) 2.2V 0603 surface-mount Lumex SML-LX0603GW-TR","Digi-Key","67-1549-1-ND","Lumex","SML-LX0603GW-TR",""
8,"BW-885-747","3","D3 D5 D6","LED-0603","LED-0603","LED 470nm (blue) 2.65V 2mA 0603 SMT Kingbright APT1608LVBC/D","Digi-Key","754-1933-1-ND","Kingbright","APT1608LVBC/D",""
9,"BW-219-501","1","D4","LED-0603","LED-0603","LED 660nm (red) 1.7V 0603 SMT VCC 7017X1","Digi-Key","7017X1CT-ND","VCC","7017X1",""
